id,x,y
202,2.2659,48.85928
203,2.27518,48.87209
204,2.27483,48.87214
205,2.39792,48.88288
206,2.39961,48.88263
207,2.40043,48.88225
208,2.40056,48.88183
209,2.4,48.8811
210,2.40006,48.8807
211,2.22308,48.91847
212,2.22038,48.91562
213,2.20032,48.90266
214,2.19923,48.90311
215,2.11495,48.9163
216,2.1152,48.91646
217,2.16206,48.91365
218,2.14932,48.91441
219,2.13879,48.91479
220,2.13624,48.91504
221,2.12673,48.9166
222,1.96273,48.93591
223,1.95881,48.93749
224,1.95589,48.93917
225,1.95421,48.94039
226,1.9528,48.94159
227,1.94666,48.94774
228,1.94301,48.95108
229,1.93948,48.95396
230,1.92573,48.96439
231,1.8792,48.97055
232,1.90328,48.97028
233,1.92465,48.96517
234,1.92248,48.96653
235,1.92022,48.96765
236,1.91756,48.96866
237,1.91501,48.96939
238,1.9103,48.97018
239,1.90296,48.97043
240,2.29074,48.88578
241,2.29073,48.88599
242,2.29013,48.88651
243,2.2888,48.88792
244,2.28886,48.88807
245,2.29099,48.88914
246,2.29274,48.88956
247,2.29402,48.88827
248,2.33959,48.87207
249,2.33917,48.87183
250,2.33292,48.86923
251,2.33366,48.86751
252,2.33269,48.86456
253,2.33392,48.86621
254,2.33417,48.86631
255,2.33816,48.8712
256,2.33954,48.87092
257,2.33983,48.87579
258,2.33935,48.87466
259,2.35781,48.83457
260,2.36134,48.83345
261,2.36184,48.833
262,2.36145,48.83325
263,2.36178,48.83335
264,2.36161,48.83353
265,2.35982,48.83587
266,2.36147,48.83353
267,2.36476,48.83398
268,2.36378,48.83448
269,2.3601,48.83597
270,2.36296,48.83387
271,2.36035,48.83616
272,2.37292,48.81972
273,2.37249,48.81992
274,2.37198,48.82172
275,2.37081,48.82136
276,2.37044,48.82186
277,2.37116,48.82212
278,2.37156,48.8216
279,2.37247,48.82153
280,2.37203,48.82165
281,2.37737,48.82271
282,2.37583,48.82232
283,2.37782,48.82297
284,2.3756,48.82101
285,2.37495,48.82209
286,2.37348,48.82094
287,2.37369,48.82057
288,2.37261,48.82043
289,2.37362,48.8207
290,2.37358,48.82077
291,2.37257,48.8205
292,2.37909,48.82115
293,2.38157,48.8176
294,2.37554,48.8177
295,2.37679,48.8181
296,2.37792,48.81696
297,2.38344,48.81115
298,2.38326,48.81122
299,2.37629,48.81688
300,2.37436,48.81836
301,2.37433,48.81812
302,2.37273,48.81574
303,2.37465,48.81634
304,2.37353,48.81935
305,2.37403,48.81952
306,2.3757,48.82004
307,2.37563,48.81996
308,2.37575,48.81995
309,2.37576,48.82001
310,2.38095,48.81741
311,2.37951,48.81867
312,2.37896,48.81993
313,2.37874,48.82104
314,2.37978,48.82014
315,2.37905,48.8212
316,2.37786,48.82075
317,2.37997,48.81815
318,2.37878,48.81772
319,2.38131,48.81517
320,2.38486,48.81174
321,2.38162,48.81752
322,2.38246,48.81405
323,2.38403,48.81467
324,2.38304,48.81577
325,2.38157,48.81519
326,2.38193,48.81709
327,2.38439,48.81809
328,2.38227,48.8166
329,2.38484,48.81763
330,2.38393,48.81857
331,2.38568,48.81676
332,2.38436,48.81889
333,2.38285,48.8137
334,2.38129,48.81298
335,2.3822,48.81339
336,2.38387,48.81187
337,2.38298,48.81265
338,2.38364,48.81295
339,2.38446,48.81217
340,2.38401,48.81153
341,2.39082,48.81173
342,2.38906,48.81362
343,2.38836,48.81338
344,2.39034,48.81146
345,2.38998,48.81265
346,2.38937,48.81239
347,2.38439,48.81426
348,2.38668,48.81505
349,2.3868,48.81506
350,2.38673,48.8151
351,2.38674,48.81502
352,2.38701,48.82641
353,2.38349,48.82562
354,2.29138,48.85166
355,2.29169,48.85178
356,2.31116,48.85812
357,2.30993,48.85726
358,2.28993,48.85496
359,2.29231,48.85431
360,2.27727,48.83714
361,2.27753,48.83742
362,2.29058,48.85246
363,2.29074,48.85273
364,2.28917,48.85388
365,2.29994,48.85764
366,2.29821,48.85645
367,2.28955,48.85527
368,2.29218,48.85544
369,2.2931,48.85616
370,2.40233,48.84515
371,2.40205,48.84511
372,2.26091,48.85836
373,2.26354,48.85767
374,2.19068,48.86348
375,2.19002,48.86394
376,2.1591,48.87067
377,2.15806,48.87014
378,2.15939,48.88913
379,2.15921,48.88907
380,2.19132,48.86324
381,2.19172,48.86314
382,2.18057,48.87993
383,2.17881,48.88128
384,2.17519,48.88353
385,2.17032,48.88604
386,2.16957,48.8854
387,2.39557,48.84894
388,2.3953,48.84936
389,2.33617,48.93565
390,2.33593,48.93568
391,2.47087,48.82929
392,2.46975,48.82845
393,2.32546,48.82327
394,2.32541,48.82307
395,2.36893,48.87562
396,2.37007,48.87412
397,2.37034,48.87404
398,2.33234,48.87116
399,2.33212,48.87111
400,2.34149,48.86568
401,2.34309,48.86529
402,2.40137,48.85185
403,2.40075,48.853
404,2.39992,48.85403
405,2.31144,48.85386
406,2.31267,48.8538
407,2.3295,48.88468
408,2.32929,48.88536
409,2.39965,48.92607
410,2.39871,48.92595
411,2.31032,48.86908
412,2.31044,48.86914
413,2.37823,48.82612
414,2.2699,48.84824
415,2.26846,48.84856
416,2.26729,48.8483
417,2.26658,48.8484
418,2.3789,48.89243
419,2.37736,48.89124
420,2.29229,48.87692
421,2.29219,48.8771
422,2.33782,48.94194
423,2.33645,48.94149
424,2.29943,48.87836
425,2.30303,48.87913
426,2.378,48.846
427,2.38014,48.84495
428,2.30031,48.88396
429,2.29925,48.88439
430,2.30923,48.83356
431,2.30901,48.83363
432,2.34434,48.85377
433,2.34439,48.85381
434,2.25503,48.87401
435,2.2552,48.87397
436,2.36559,48.86697
437,2.3677,48.86656
438,2.28787,48.8639
439,2.28997,48.86681
440,2.51871,48.83418
441,2.51871,48.83399
442,2.26892,48.90325
443,2.26814,48.90345
444,2.52049,48.8542
445,2.52101,48.85345
446,2.3719,48.83667
447,2.37134,48.83715
448,2.37145,48.8373
449,2.37443,48.82713
450,2.3767,48.82765
451,2.30482,48.85384
452,2.30311,48.85493
453,2.37755,48.83106
454,2.37663,48.8318
455,2.34394,48.85359
456,2.34354,48.85337
457,2.37701,48.8721
458,2.37359,48.87518
459,2.38547,48.89763
460,2.38573,48.89761
461,2.52019,48.85917
462,2.52002,48.85906
463,2.36553,48.84747
464,2.36511,48.84778
465,2.36451,48.84894
